,Identifiant,Quantite2003,Nom_Etablissement_x,LLX,LLY,Quantite2004,Quantite2005,Quantite2006,Quantite2007,Quantite2008,Quantite2009,Quantite2010,Quantite2011,Quantite2012,Quantite2013,Quantite2014,Quantite2015,Quantite2016,Quantite2017
2371,66.00264,0,J. DELPECH ET SES FILS,3.0593650807351054,43.021113846579475,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2372,66.00265,0,SOFT SA,3.0593650807351054,43.021113846579475,91.98000000000002,643.0,56.482,57.652,41.314,33.06,27.130000000000003,20.869999999999997,17.131,0,0,0,0,0
2373,66.00335,0,SMITHERS OASIS,2.020632509193839,43.29834285655931,11.8,36.6,33.0,30.0,30.0,30.0,50.0,55.0,50.0,25.3,23.3,28.04,29.76,29.804
2374,66.00415,0,Ets J. RICHARD DUCROS,4.070759056925785,44.12736906755942,71.984,72.19,71.981,48.208,67.1,28.76,54.662,0,0,0,0,0,0,0
2375,66.00421,0,TAMARIS INDUSTRIES,4.070759056925785,44.12736906755942,300.0,235.0,196.0,237.0,245.0,137.0,0,0,0,0,0,0,0,0
2376,66.00425,0,RESSOURCE Marchand de Couleurs,4.77193425534354,43.95947506830494,153.07999999999998,156.505,171.582,534.254,28.016,17.9,20.859,22.932,19.958000000000002,25.34,15.18,15.52,12.659999999999998,10.33
2377,66.00480999999999,0,COLOMBI,4.1864193768802815,43.99559830799253,48.8,22.4,56.6,83.6,42.4,102.0,54.4,0,0,0,0,0,0,0
2378,66.0053,0,GRAVURE D'AZUR,4.650629780514545,43.93040966771764,179.31300000000002,139.884,127.34,143.368,116.037,121.437,80.13799999999999,72.10000000000001,83.395,54.305,67.483,72.738,49.328,109.38099999999999
2379,66.00563000000001,0,FerroPem,4.661509092982529,44.10530866579808,3.15,0,0,86.928,66.639,39.056999999999995,87.797,34.586,37.754,27.410999999999998,179.255,26.395999999999997,33.343,48.372
2380,66.01013,0,SCORI,3.7557614258130565,43.448700595952886,64301.0,66932.79999999999,0,0,0,0,205.5,1067.0,57281.37700000001,60244.14,66972.29500000003,63633.132000000005,63017.25100000001,58316.429000000004
2381,66.0127,0,FLEXSYS,3.69641040002958,43.406655033613376,7.395,0,0,11.358,0,0,6.8999999999999995,11.25,18.869000000000003,18.900000000000002,110.88500000000002,0,0,0
2382,66.01279,0,Incinérateur de la Communauté d'Agglomération du Bassin de Thau,3.69641040002958,43.406655033613376,678.0,694.0,927.0,1040.0,1010.0,1110.0,1320.0,1260.0,1300.0,1340.0,1300.0,1200.0,1160.0,1140.0
2383,66.01281,0,SAIPOL Etablissement de Sète,3.69641040002958,43.406655033613376,12.11,0,198.32999999999998,1237.2,1340.8419999999999,8.040000000000001,250.094,78.921,446.19999999999993,435.2279999999999,611.7759999999997,540.9100000000001,219.868,384.95
2384,66.01361,0,STERIMED,2.669975611119582,42.4732900155136,33.245000000000005,43.329,30.113,23.399,37.188,50.17599999999999,55.673,67.546,83.06999999999998,67.568,24.473000000000003,33.597,15.586,38.929
2385,66.01578,0,RHODIA OPERATIONS,4.159238309183557,44.167055359953316,2098.0,625.0,666.0,829.0,2372.6,1079.0,816.8,1108.0,692.0,1234.3,1239.1,2128.37,2403.62,3437.05
